Date,HomeTeam,AwayTeam,FTHomeGoal,FTAwayGoal,FTWinner,HTHomeGoal,HTAwayGoal,HTWinner,HomeShots,AwaysShots,HomeTargetShots,AwayTargetShots,HomeFouls,AwayFouls,HomeCorner,AwayCorner,HomeYellow,AwayYellow,HomeRed,AwayRed
8/22/15,Lazio,Bologna,2,1,H,2,1,H,21,9,9,4,18,8,10,3,2,1,0,0
8/22/15,Verona,Roma,1,1,D,0,0,D,12,21,7,8,9,11,3,7,2,1,0,0
8/23/15,Empoli,Chievo,1,3,A,1,0,H,15,12,5,3,15,19,8,5,1,2,0,0
8/23/15,Fiorentina,Milan,2,0,H,1,0,H,13,8,7,0,18,16,4,5,3,2,0,1
8/23/15,Frosinone,Torino,1,2,A,1,0,H,13,26,3,7,10,11,3,12,2,2,0,0
8/23/15,Inter,Atalanta,1,0,H,0,0,D,21,4,7,0,14,12,9,1,2,2,0,1
8/23/15,Juventus,Udinese,0,1,A,0,0,D,21,6,5,2,14,22,10,2,1,3,0,0
8/23/15,Palermo,Genoa,1,0,H,0,0,D,19,11,6,3,10,13,5,6,1,1,0,0
8/23/15,Sampdoria,Carpi,5,2,H,5,1,H,10,24,7,7,15,16,4,8,1,3,1,0
8/23/15,Sassuolo,Napoli,2,1,H,1,1,D,16,15,6,3,13,21,5,1,4,2,0,0
8/29/15,Bologna,Sassuolo,0,1,A,0,0,D,6,9,2,2,15,13,11,5,3,1,0,0
8/29/15,Milan,Empoli,2,1,H,1,1,D,6,18,4,3,20,16,6,5,0,2,0,0
8/30/15,Atalanta,Frosinone,2,0,H,1,0,H,25,14,11,4,9,13,9,2,1,4,0,0
8/30/15,Carpi,Inter,1,2,A,0,1,A,10,12,5,5,11,17,2,6,3,4,0,0
8/30/15,Chievo,Lazio,4,0,H,3,0,H,8,13,5,2,11,14,2,8,0,1,0,0
8/30/15,Genoa,Verona,2,0,H,0,0,D,20,12,6,2,19,13,4,4,2,2,0,0
8/30/15,Napoli,Sampdoria,2,2,D,2,0,H,27,9,7,4,9,8,4,1,0,2,0,0
8/30/15,Roma,Juventus,2,1,H,0,0,D,18,10,7,2,15,16,6,6,3,2,0,2
8/30/15,Torino,Fiorentina,3,1,H,0,1,A,10,9,6,5,15,10,4,2,2,3,0,0
8/30/15,Udinese,Palermo,0,1,A,0,1,A,25,5,7,1,16,15,10,0,4,2,0,1
9/12/15,Fiorentina,Genoa,1,0,H,0,0,D,11,12,3,1,19,21,4,2,2,4,1,0
9/12/15,Frosinone,Roma,0,2,A,0,1,A,18,20,5,3,16,15,3,8,4,3,0,0
9/12/15,Juventus,Chievo,1,1,D,0,1,A,26,6,7,3,21,20,5,3,3,5,0,0
9/13/15,Empoli,Napoli,2,2,D,2,1,H,16,17,3,4,12,14,5,5,2,4,0,0
9/13/15,Inter,Milan,1,0,H,0,0,D,16,19,4,3,19,16,6,7,2,3,0,0
9/13/15,Lazio,Udinese,2,0,H,0,0,D,14,10,8,4,17,13,6,4,0,1,0,0
9/13/15,Palermo,Carpi,2,2,D,1,1,D,13,9,6,2,16,18,3,3,3,3,0,0
9/13/15,Sassuolo,Atalanta,2,2,D,2,2,D,10,10,9,4,21,19,4,2,3,4,1,1
9/13/15,Verona,Torino,2,2,D,0,0,D,12,10,3,5,17,20,3,3,5,2,0,0
9/14/15,Sampdoria,Bologna,2,0,H,0,0,D,12,9,4,2,11,16,2,5,1,3,0,1
9/19/15,Milan,Palermo,3,2,H,2,1,H,18,13,8,3,8,8,7,3,1,2,0,0
9/19/15,Udinese,Empoli,1,2,A,1,0,H,7,12,2,6,26,14,2,5,4,3,1,0
9/20/15,Atalanta,Verona,1,1,D,0,0,D,14,9,2,3,21,19,8,2,3,3,0,1
9/20/15,Bologna,Frosinone,1,0,H,1,0,H,12,20,2,6,19,17,6,5,4,5,0,0
9/20/15,Carpi,Fiorentina,0,1,A,0,1,A,11,8,3,2,21,15,4,3,3,4,0,0
9/20/15,Chievo,Inter,0,1,A,0,1,A,15,14,2,3,16,13,8,8,3,1,0,0
9/20/15,Genoa,Juventus,0,2,A,0,1,A,7,13,0,4,21,23,1,2,1,4,1,0
9/20/15,Napoli,Lazio,5,0,H,2,0,H,19,9,10,1,12,12,7,1,1,2,0,0
9/20/15,Roma,Sassuolo,2,2,D,1,2,A,21,12,7,4,15,15,11,4,2,3,0,0
9/20/15,Torino,Sampdoria,2,0,H,2,0,H,19,13,8,5,9,10,7,7,2,3,0,0
9/22/15,Udinese,Milan,2,3,A,0,3,A,11,9,3,3,24,21,7,1,4,3,1,0
9/23/15,Carpi,Napoli,0,0,D,0,0,D,11,22,1,4,13,16,4,4,3,3,0,0
9/23/15,Chievo,Torino,1,0,H,0,0,D,10,4,5,1,12,13,0,4,3,3,0,0
9/23/15,Fiorentina,Bologna,2,0,H,0,0,D,18,3,4,1,15,12,6,0,1,2,0,0
9/23/15,Inter,Verona,1,0,H,0,0,D,17,7,4,1,12,8,11,2,4,4,0,0
9/23/15,Juventus,Frosinone,1,1,D,0,0,D,36,9,7,1,16,10,10,5,2,3,0,0
9/23/15,Lazio,Genoa,2,0,H,1,0,H,10,9,3,3,19,11,10,3,4,2,0,2
9/23/15,Palermo,Sassuolo,0,1,A,0,1,A,9,13,2,4,21,15,2,5,0,6,1,0
9/23/15,Sampdoria,Roma,2,1,H,0,0,D,6,24,3,8,14,15,4,19,6,3,0,0
9/24/15,Empoli,Atalanta,0,1,A,0,1,A,10,13,1,3,12,19,4,5,2,4,0,0
9/26/15,Napoli,Juventus,2,1,H,1,0,H,13,12,5,3,18,16,4,4,2,4,0,0
9/26/15,Roma,Carpi,5,1,H,3,1,H,17,13,10,6,13,14,6,6,1,1,0,0
9/27/15,Bologna,Udinese,1,2,A,1,0,H,12,12,3,3,12,13,6,4,4,3,0,0
9/27/15,Genoa,Milan,1,0,H,1,0,H,11,12,2,3,24,29,7,4,4,4,0,1
9/27/15,Inter,Fiorentina,1,4,A,0,3,A,5,12,2,8,10,15,2,3,4,2,1,0
9/27/15,Sassuolo,Chievo,1,1,D,1,1,D,13,12,5,2,16,22,4,2,3,1,0,0
9/27/15,Torino,Palermo,2,1,H,1,0,H,10,11,3,3,15,20,5,1,2,5,2,0
9/27/15,Verona,Lazio,1,2,A,1,0,H,6,13,1,3,18,13,3,10,2,2,0,1
9/28/15,Atalanta,Sampdoria,2,1,H,1,0,H,18,8,5,4,22,15,5,4,3,3,0,0
9/28/15,Frosinone,Empoli,2,0,H,0,0,D,10,13,4,5,28,18,4,5,3,4,0,1
10/3/15,Carpi,Torino,2,1,H,0,0,D,7,13,3,3,10,19,2,5,2,1,0,0
10/3/15,Chievo,Verona,1,1,D,0,0,D,17,10,7,3,22,12,5,5,3,0,0,0
10/4/15,Empoli,Sassuolo,1,0,H,0,0,D,18,7,4,1,21,25,5,2,2,3,1,0
10/4/15,Fiorentina,Atalanta,3,0,H,2,0,H,29,5,9,1,12,15,8,4,0,2,0,1
10/4/15,Juventus,Bologna,3,1,H,1,1,D,19,2,8,1,8,9,5,2,1,5,0,0
10/4/15,Lazio,Frosinone,2,0,H,0,0,D,27,12,10,6,15,14,10,6,4,1,0,0
10/4/15,Milan,Napoli,0,4,A,0,1,A,12,11,2,4,12,11,5,1,3,3,0,0
10/4/15,Palermo,Roma,2,4,A,0,3,A,14,13,5,8,15,16,6,3,4,3,0,0
10/4/15,Sampdoria,Inter,1,1,D,0,0,D,15,17,6,7,14,12,9,9,2,4,0,0
10/4/15,Udinese,Genoa,1,1,D,0,0,D,9,19,3,7,12,17,2,10,2,1,0,0
10/17/15,Roma,Empoli,3,1,H,0,0,D,9,13,5,6,17,9,6,4,1,1,0,0
10/17/15,Torino,Milan,1,1,D,0,0,D,6,8,2,3,28,11,7,1,3,4,0,0
10/18/15,Atalanta,Carpi,3,0,H,2,0,H,15,13,7,5,16,13,8,7,1,3,0,0
10/18/15,Bologna,Palermo,0,1,A,0,1,A,17,9,6,4,8,15,6,6,1,4,0,0
10/18/15,Frosinone,Sampdoria,2,0,H,0,0,D,15,19,4,2,11,16,8,12,2,4,0,0
10/18/15,Genoa,Chievo,3,2,H,2,1,H,12,21,6,3,14,17,7,7,2,2,1,0
10/18/15,Inter,Juventus,0,0,D,0,0,D,8,15,2,4,14,14,4,9,3,5,0,0
10/18/15,Napoli,Fiorentina,2,1,H,0,0,D,13,10,6,3,11,18,4,5,3,4,0,0
10/18/15,Sassuolo,Lazio,2,1,H,1,0,H,15,12,4,3,7,21,3,9,1,3,0,1
10/18/15,Verona,Udinese,1,1,D,1,0,H,8,15,2,5,14,11,8,8,2,2,0,0
10/24/15,Carpi,Bologna,1,2,A,1,0,H,7,15,1,4,16,9,3,8,2,2,1,0
10/24/15,Empoli,Genoa,2,0,H,1,0,H,15,14,5,3,11,25,3,8,3,3,0,0
10/24/15,Palermo,Inter,1,1,D,0,0,D,10,19,2,7,11,11,3,10,3,1,0,1
10/25/15,Chievo,Napoli,0,1,A,0,0,D,7,17,1,4,19,12,2,8,1,2,0,0
10/25/15,Fiorentina,Roma,1,2,A,0,2,A,21,6,4,4,9,17,8,1,2,4,0,1
10/25/15,Juventus,Atalanta,2,0,H,1,0,H,19,5,10,0,9,16,4,3,2,2,0,1
